Subsector name,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,2026/2027,2027/2028,2028/2029
Advanced technical and managerial training,0,0,0,0,1120000,185124.2,1055656.1,4861477.67,4425811.62,8085915.44,6447706.9,5051254.34,4778534.63,3616518,1438500.52,579705.6,448276.1,42500,0,0,0,0,0
Basic life skills for adults,648.9,13661.4,617989.16,1740692.5,2186414.9,2882797.05,22025657.1,37306248.25,47829600.98,29146421.77,22733453.42,12801471.61,9705285.73,9074655.14,6354553.74,5725312.45,3592196.55,0,0,2636708,0,0,0
Early childhood education,0,0,0,4018.65,9390.25,408749.2,506622.8,255325,417323.15,241008.55,2357268.77,3192774.51,4887946.65,6462402.43,6568654.28,5033244.48,4819139.76,2599742.62,4395255.76,3166511.42,0,0,0
Education facilities and training,1687.14,36963.4,1693914.14,5144709.75,5368023.25,8136186.61,10973959.02,11588361.03,17888179.93,21253767.85,18824466.82,15862309.01,14115236.54,37905130.72,30097170.71,10832345.15,7004183.85,6053779.24,0,0,0,0,0
Education policy and administrative management,2250000,2285907.7,1568292.5,8246724.9,22281426.5,64693226.32,153513848.22,229996769.36,196047705.04,105097596.96,135876406.61,127411784.61,99712207.16,133078703.44,111293950.79,82344908.99,58756767.46,35877826.24,7390506.2,4527556.72,218313.4,-51000,0
Educational research,0,0,0,0,14086.6,1479119.98,4882247.15,14379465.9,18970160.09,20694428.73,22259317.79,28285202.9,26505229.52,25569470.82,25573412.77,36540251.53,23872239.46,14443263.68,6966301.9,4946344.18,1211808.2,-49000,0
Higher education,0,0,0,0,0,16363441.3,20205026,31196676.1,36049952.85,40311154.95,93833133.95,36688440.85,92184827.4,100574789.22,97923815.55,15185268.45,7147291.1,0,0,0,0,0,0
Primary education,1126557.36,1167078.65,1799795.95,6817746.3,8964453.65,68566027.68,87907897.45,216548008.38,205537162.36,191949409.47,248909965,185402731.37,208660607.61,225118402.07,150213628.74,104111085.39,61446611.63,37918928.02,49574536.1,54089457.2,9928139,1840000,2253176
Teacher training,1297.8,30210.32,1386360.48,3842768.54,4361514.8,7699131.8,18989633.81,29138118.31,41679903.44,52432403.46,47334313.07,28542018.21,30381256.97,27642336.87,21570121.32,21448614.24,13427444.86,4502998.54,977445.65,3296863.5,0,0,0
Upper Secondary Education (modified and includes data from 11322),676297.8,701545.03,1085018.46,3561045.95,4753645,25513541.64,39082944.85,84372836.42,88081544.83,82541856.35,97435442.21,78603047.81,91372469.31,90127836.05,78291510.55,49211955.41,13340983.2,2239163.04,494000.12,0,0,0,0
Vocational training,0,0,0,16018.65,2539727.85,1539528.3,4505878.8,9468452.97,9832593.62,30835211.63,46528956.29,44556208.67,37457434.91,33989674.46,35216472.72,15119472.99,16220616.82,1e+06,662500,3955062,0,0,0
