Subsector name,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,2026/2027,2027/2028,2028/2029
Basic health care,27547.5,19707,12645.6,2192196.2,7269193.8,4894637.83,22126648.95,62518128.13,110441733.31,147079059.56,138844014.17,114770848.56,117469909.03,123930812.88,105826819.04,116571875.86,179824039.49,108296914.95,39763261.3,30051645.16,17179677.25,8639014.6,2163952.4,1840000,2253176
Basic health infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,25336,0,0,0,0,0,0,0,0,0,0,0,0
Basic nutrition,0,0,0,5100019.8,10604475.2,12671846.74,21849861.85,30030925.82,42595075.87,62116544.97,60068870.74,68087676.43,129320802.91,146280381.63,98626726.26,121785272.09,109615941.26,72999205.79,39522851.04,9891626.5,5191806,2219880,1343952,0,1588829.5
Health education,41792.25,19707,12645.6,565163.75,2187564.01,5754411.8,8806991.89,15437826.5,23589978.47,33136030.05,34691067.77,31957707.55,29023275.6,16664841.99,16965375.31,23477954.99,14899715.67,5922614.3,5243271.98,3008416.7,1230362.2,684187.56,0,0,637554.7
Health personnel development,41792.25,19707,12645.6,1062227.25,2513748.3,4006414.35,5876557.94,9986759.2,14503102.15,21939296.55,21783691.85,14893982.89,12856234.97,14882562.3,13723981.57,12613809.53,17379143.99,11398438.18,8491348.25,5737122.2,2277704,662265.44,0,0,121429.2
Health policy and administrative management,18993,0,0,1856796.2,4007740.7,12829346.27,19151391.48,42977988.86,85250634.06,103312470.48,100379837,86587545.59,133706999.12,139645459.07,124772745.01,131150035.17,89208417.63,85216984.59,56023819.02,35428461.87,16054319,3991267.5,117075.6,81426.8,116300.1
Infectious disease control,0,0,0,2936.5,1445847.05,3203371.4,6016765.35,26666062.5,35493852.58,137182617.59,97788080.65,108651883.46,97071837.45,108899311.89,133223005.9,147231823.99,368982437.03,212291331.15,125701425.15,114350919.6,1422000,340000,0,0,0
Malaria control,37986,0,0,500100.4,3310353.8,13347112,15487836.6,77269965.9,80932603.02,142282643.79,146451140.04,62297973.98,75655952.94,37251544.46,25752377.97,21026072.33,19204459.07,12787057.4,11135231,7619778.01,372500,0,0,0,0
Medical education/training,0,0,0,0,0,0,0,0,0,0,0,0,72344,0,0,0,0,0,0,0,0,0,0,0,0
Medical research,18522,9853.5,6322.8,3170.85,114212.5,492999.7,3384366.31,10881072.75,24245897.59,62016776.97,74182044.35,79402220.08,109510666.76,140931569.7,143249586.72,162910794.9,395492480.23,96525536.44,60133256.25,36514837.7,26874745.4,16280630.7,1100097,0,121566.6
Tuberculosis control,0,0,0,0,0,0,0,21782400,23038458.2,33770188.69,11967307.46,12594638.45,2604708.25,2465621.7,2640880.9,3438455.3,2760800,3367727.5,3150200,646988.2,0,0,0,0,0
